KeyBucket,KeyStrokes,TotalTime,VOID,Stroke1,Stroke2,Stroke3
O,O,0.42098469099983,,0,0,0
o,o,2.2866693209999,,0,0,0
O,O,0.70342078799877,,0,0,0
O,O,0.42004724000071,,0,0,0
i,i,0.085331233998659,,0,0,0
A,A,0.51161375999982,,0,0,0
A,A,0.35537071900035,,0,0,0
o,o,1.1597182780006,,0,0,0
o,o,0.20519712999885,,0,0,0
O,O,0.34671361200162,,0,0,0
o,o,0.65471655600049,,0,0,0
o,o,0.19672569199975,,0,0,0
A,A,0.18931793999946,,0,0,0
o,o,0.29567032999876,,0,0,0
o,o,0.14682675100084,,0,0,0
i,i,0.29854201399939,,0,0,0
i,i,0.3697330899995,,0,0,0
o,o,0.19657167900004,,0,0,0
o,o,0.16361861100086,,0,0,0
i,i,0.1074793860007,,0,0,0
o,o,0.68812391499523,,0,0,0
o,o,0.40344081700459,,0,0,0
o,o,0.24983144399448,,0,0,0
i,i,0.089838526997482,,0,0,0
o,o,0.53776453099999,,0,0,0
o,o,0.33373725799902,,0,0,0
A,A,0.3357911550047,,0,0,0
o,o,0.54341048099741,,0,0,0
a,a,0.58238870300556,,0,0,0
a,a,0.83714128599968,,0,0,0
I,I,0.21138061500096,,0,0,0
i,i,0.54345538399502,,0,0,0
a,a,0.17325441799767,,0,0,0
o,o,0.066417768997781,,0,0,0
i,i,0.44572894199518,,0,0,0
i,i,0.34475661900069,,0,0,0
i,i,0.41630438799621,,0,0,0
I,I,0.22039155100356,,0,0,0
o,o,0.072096678995877,,0,0,0
i,i,0.59447808900586,,0,0,0
O,O,0.3628947670004,,0,0,0
i,i,0.50940413399803,,0,0,0
o,o,0.57934938000108,,0,0,0
o,o,1.796717403995,,0,0,0
VD*,VDO,0.99066848399525,,0.088398669002345,0.31817450199742,0
O,O,0.62582451400522,,0,0,0
I,I,0.27600006999273,,0,0,0
o,o,0.16941918899829,,0,0,0
a,a,0.13808439299464,,0,0,0
o,o,0.6832439199934,,0,0,0
I,I,0.59640750399558,,0,0,0
A,A,1.0042638489977,,0,0,0
o,o,0.13168330299959,,0,0,0
o,o,1.2073608699866,,0,0,0
A,A,0.19202028900327,,0,0,0
A,A,0.41851926399977,,0,0,0
d**,dla,0.68002184700163,,0.00047785299830139,0.4815628159995,0
o,o,0.095389420006541,,0,0,0
o,o,0.094444478992955,,0,0,0
O,O,0.35868366200884,,0,0,0
A,A,0.20441921699967,,0,0,0
A,A,0.28702078900824,,0,0,0
a,a,0.22469869098859,,0,0,0
df**,df)A,1.1208502579975,,0.16689938500349,0.14801329899637,0.32599344999471
I,I,0.20789854800387,,0,0,0
A,A,0.41073045298981,,0,0,0
A,A,0.7854263120098,,0,0,0
o,o,0.7291031700006,,0,0,0
A,A,1.4189859059989,,0,0,0
A,A,0.37779598600173,,0,0,0
o,o,0.57599573599873,,0,0,0
o,o,0.91369662299985,,0,0,0
a,a,0.80143864400452,,0,0,0
o,o,0.079547204994014,,0,0,0
A,A,0.29621808999218,,0,0,0
A,A,0.19619844600675,,0,0,0
ci*,ci",0.97972602199297,,0.057888072013156,0.26797227999486,0
A,A,0.19455052400008,,0,0,0
i,i,0.23909305600682,,0,0,0
O,O,1.8814219049964,,0,0,0
i,i,0.50864633799938,,0,0,0
O,O,0.30114600399975,,0,0,0
A,A,0.61253256299824,,0,0,0
a,a,0.14888065299601,,0,0,0
i,i,1.9834556669957,,0,0,0
A,A,0.27110183599871,,0,0,0
