KeyBucket,KeyStrokes,TotalTime,VOID,Stroke1,Stroke2,Stroke3
O,O,0.54429732702556,,0,0,0
o,o,0.13164071302162,,0,0,0
A,A,0.5785167629947,,0,0,0
i,i,0.12683218502207,,0,0,0
o,o,0.30410007497994,,0,0,0
VD*,VDO,2.453556841996,,0.060754554986488,0.22538409501431,0
VD*,VDi,0.82188066700473,,0.062176068982808,0.44109653600026,0
d**,dwi,0.56808732400532,,0.057918690989027,0.072024929017061,0
d**,dwi,0.4228164209926,,0.069860165996943,0.029874599975301,0
o,o,0.11140161001822,,0,0,0
i,i,0.34441483599949,,0,0,0
o,o,0.11444426199887,,0,0,0
o,o,0.079371280997293,,0,0,0
ci*,ci",1.251717748004,,0.086294639011612,0.86900679898099,0
A,A,0.14240737399086,,0,0,0
o,o,0.38620845999685,,0,0,0
A,A,0.31283728900598,,0,0,0
o,o,0.40452268801164,,0,0,0
O,O,0.35322739600088,,0,0,0
o,o,1.6720482259989,,0,0,0
o,o,0.22624688001815,,0,0,0
o,o,0.56988827200257,,0,0,0
ci*,ci",0.82966569901328,,0.092832235997776,0.21490781698958,0
d**,dwi,0.34648223398835,,0.065113359014504,0.075734454992926,0
a,a,0.91445454198401,,0,0,0
i,i,0.1860934770084,,0,0,0
a,a,0.5152890739846,,0,0,0
i,i,0.28330726298736,,0,0,0
i,i,0.18886039298377,,0,0,0
i,i,0.14837196699227,,0,0,0
i,i,0.18619818199659,,0,0,0
i,i,0.10474239900941,,0,0,0
a,a,0.13394818201778,,0,0,0
A,A,0.16292954498203,,0,0,0
ci*,ci",0.68306532400311,,0.057803458010312,0.19566220499109,0
ci*,ci",1.0864855439868,,0.067790177999996,0.6767727730039,0
A,A,0.15834689300391,,0,0,0
d**,dwi,0.57755357198766,,0.061149321001722,0.090860302996589,0
dt**,dt\i,0.96594181697583,,0.054743348999182,0.2116148500063,0.39989719298319
A,A,0.2013427199854,,0,0,0
O,O,0.20252991101006,,0,0,0
o,o,0.10782761801966,,0,0,0
A,A,0.20021597499726,,0,0,0
o,o,0.23607601801632,,0,0,0
A,A,0.20671437200508,,0,0,0
i,i,0.27086763401167,,0,0,0
o,o,0.17596321500605,,0,0,0
i,i,0.33751463401131,,0,0,0
i,i,0.11776232699049,,0,0,0
a,a,0.17551403699326,,0,0,0
a,a,0.11205955100013,,0,0,0
